id,title,duration_sec,narration,prompt,scene_description,subtitle
1,开场钩子,20,"欢迎来到 OpenVPMD，一个致力于可变磁极传动的开源工程项目，用磁场取代传统齿轮，实现平稳、高效的无级变速。","Cinematic 3D render of a futuristic mechanical device with glowing magnetic field lines, close-up, high detail, technical poster, 16:9","动态 Logo + 设备切面发光磁力线特写，镜头缓慢推进。","OpenVPMD — 可变磁极传动（开源）"
2,什么是 OpenVPMD,20,"OpenVPMD 是一个开源的可变极电磁传动方案，旨在通过调整电磁极数和相位，实现连续可控的输出转速与扭矩。","Technical illustration cutaway of a variable pole magnetic drive, exploded view, labeled components, clean studio lighting, 16:9","结构爆炸图，文字标签逐一出现。","什么是 OpenVPMD？"
3,传统问题,20,"传统机械传动依赖齿轮或离合器实现换挡，结构复杂、磨损大且效率受限，尤其在小型场景或精密控制上存在短板。","Illustration comparing worn gears and a smooth magnetic coupling, split-screen, realistic, 16:9","左侧齿轮磨损，右侧磁力耦合平稳旋转。","传统齿轮的局限"
4,解决思路,20,"我们的思路是利用电磁场的可编程特性，通过改变极数组合，让机械输出以电控方式平滑转变，实现无级且高效的传动。","Abstract visualization of programmable magnetic fields morphing, neon lines morphing into gears, artistic-technical, 16:9","磁场线从静态转为可变分布，示意动画。","以磁场取代机械换挡"
5,核心原理,20,"核心在于可变极结构与供电相位控制：通过改变励磁线圈的通电组合，改变有效极数，从而控制同步关系与输出速度。","Close-up 3D render of coil windings and magnetic poles, animated field vectors, highly detailed, 16:9","线圈通电示意与极数变化动画。","可变极 + 相位控制"
6,极数变化示意,20,"当极数增多时，单位极距变短，输出转速发生对应变化；通过连续调节，可以在无机械冲击下实现大范围传动比。","Sequence of diagrams showing pole count increasing and rotor speed changing, infographic style, 16:9","动画展示不同极数下的齿极示意与转速曲线。","极数与转速的关系"
7,主要部件,20,"项目主要由定子线圈组、可旋转转子、驱动电子与控制器组成；每部分都按模块化设计以便制造与维护。","Exploded render of stator coils, rotor, electronic controller board and housing, lab photography style, 16:9","各模块依次出现并标注功能。","模块化设计便于维护"
8,控制系统,20,"控制器负责实时计算最佳极数组合和相位，以满足输出扭矩和速度要求，同时优化效率并限制过热。","Close-up of an embedded control board with waveform visualizations, UI overlay showing control parameters, 16:9","控制界面 + 波形动画 + PCB 特写。","实时相位与极数控制"
9,能量与效率,20,"通过电磁直接耦合，我们可以在多数工况下减少机械摩擦损耗，提升系统整体能效，特别在变速频繁的工况中优势明显。","Graphical comparison: efficiency curves of magnetic drive vs gear drive, sleek infographic, 16:9","效率曲线对比，关键点突出。","提高能效，降低磨损"
10,平顺与噪音,20,"无齿合冲击意味着更平顺的动力传递与更低的噪音，这对精密设备和舒适性要求高的场景非常重要。","A quiet modern machine in a workshop with soundwave visual suppressed, serene lighting, photorealistic, 16:9","机器在安静环境中运行，声波图小幅显示。","更平顺、噪音更低"
